character,animation,frames,score,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio
kakashi-hatake,cmd:2+3,6,0.008588848951059047,0.9919336321349778,1.0001649278364964,0.9994775189139632,1.0003020668519806
pegasus-seiya,jump,2,0.00854973264739034,0.9914538298368013,1.0085461701631988,0.9999964375158085,1.0000035624841914
goku-super-saiyan,idle,4,0.008491156699658386,0.9920100876825868,1.0077638203787562,0.9999975953966271,1.0005012443822452
kiro,knockdown,4,0.008402840362628172,0.999994966780753,1.0007972015300988,0.9935363166344606,1.0076056388325294
frieza,walkForward,4,0.008350506512985079,0.9996530729047447,1.0003465867217456,0.9994163569860306,1.0080035794177298
kenshiro,cmd:2+4,17,0.008341540678372228,0.9992486389855255,1.0002953786086162,0.9994480635109939,1.0075901796638977
sanji-vinsmoke,cmd:2+3,11,0.008294951954392116,0.9918125521019412,1.0002515660354887,0.9998924959436667,1.000070544927499
jaguar-junichi,cmd:2+4,8,0.008290021286695093,0.9936803830648163,1.006058527243091,0.9980295956484886,1.0018189332615202
nico-robin,jump,3,0.008244829049597113,0.9919225509642549,1.00022571016778,0.999832619986148,1.0000105533023356
taikoubou,crouchBlock,8,0.008056484993846147,0.9995222121976541,1.0074944315624994,0.9994379465686533,1.0005619369273169
frieza,jump,2,0.007996922703162324,0.9920030772968377,1.0079969227031622,1.0,1.0
eve,walkForward,8,0.007972990550880077,0.992602893779091,1.0005266621275228,0.9995388704742655,1.000575884329971
dr-mashirito,jabright,10,0.007774392775145356,0.9926224781330041,1.0076637818179277,0.9998893890427824,1.000019236688212
sakura-haruno,cmd:d+3+4,13,0.007376545005233992,0.9995725965588165,1.0006545179306048,0.9932779729253708,1.0005332941190195
roronoa-zoro,chargeKi,7,0.007180261051165315,0.9997574776038836,1.0005361723073396,0.9992233203165363,1.0066440887438257
kurama,knockdown,4,0.0060391069589686985,1.0,1.0000302012916085,0.9998760768614101,1.0060089056673602
kakashi-hatake,sprint,10,0.0058907453080776495,0.9999382794962905,1.0005424740545383,0.9946517287464607,1.0008554754335692
toshiro-hitsugaya,crouchBlock,8,0.005385373880835265,0.9951442680833952,1.000254085683187,0.9994703580357696,1.0004457715627764
bobobo-bo-bo-bobo,getupStand,8,0.005279817820611266,0.9996767153624502,1.0000590238194105,0.9955461380273259,1.0049565331830614
riven,win,7,0.005274786858869951,0.9997385303495496,1.005001860729229,0.9997270738703591,1.0002149564534841
kenshin-himura,jableft,4,0.0049276333530703376,0.9994552009978013,1.0016667158069206,0.9996412200310631,1.0032609175461498
riven,cmd:SS+4,4,0.0048330853595870416,0.9997584078390123,1.0000025163753123,0.9956783063434896,1.0045914931985993
kenshiro,sprint,10,0.004623099833470978,0.9999354127849694,1.00002864587059,0.9993071201298017,1.0045585126184404
caramelman-j,kickright,8,0.004298950828596881,0.9962861564412011,1.0007345351305397,0.999414892730202,1.000279575394647
