character,animation,frames,score,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio
gintoki-sakata,getupStand,8,1.53552182269312e-05,0.9999895344943067,1.0000104655056932,0.9999951102874663,1.0000000000000002
gintoki-sakata,walkForward,8,1.53552182269312e-05,0.9999895344943067,1.0000104655056932,0.9999951102874663,1.0000000000000002
sven-vollfied,chargeKi,5,1.5329046940237845e-05,1.0,1.0000101496051805,0.9999999999999999,1.0000051794417597
sven-vollfied,crouchBlock,8,1.5329046940237845e-05,1.0,1.0000101496051805,1.0,1.0000051794417597
sven-vollfied,jump,5,1.5329046940237845e-05,1.0,1.0000101496051805,0.9999999999999999,1.0000051794417597
sven-vollfied,kickright,5,1.5329046940237845e-05,1.0,1.0000101496051805,0.9999999999999999,1.0000051794417597
sven-vollfied,sprint,5,1.5329046940237845e-05,1.0,1.0000101496051805,0.9999999999999999,1.0000051794417597
sven-vollfied,crouch,5,1.5328917099988182e-05,0.9999898504978332,1.0000000000000002,0.9999948205850668,1.0000000000000002
sven-vollfied,kickleft,6,1.5328917099988182e-05,0.9999898504978332,1.0000000000000002,1.0,1.0000051794149332
sven-vollfied,sidestepRight,6,1.5328917099988182e-05,0.9999898504978332,1.0000000000000002,1.0,1.0000051794149332
kakashi-hatake,idle,6,1.5299418424707945e-05,0.9999894316890803,1.0,0.999995268892495,1.0
frieza,cmd:2+3,12,1.5192906332783807e-05,0.9999999999999998,1.000008141797546,0.9999976496304043,1.0000070511087868
ryotsu-kankichi,kickright,6,1.517066725142957e-05,0.9999920110566974,1.0000079889433025,0.9999928182760511,1.000002393907983
gohan-super-saiyan-2,cmd:1+2,9,1.5112617114176885e-05,0.9999897386432434,1.0000102613567567,0.9999951487396426,1.0000048512603574
gohan-super-saiyan-2,crouchBlock,8,1.5112617114176885e-05,0.9999897386432435,1.0000102613567567,0.9999951487396426,1.0000048512603572
gohan-super-saiyan-2,backflip,8,1.5112617114065863e-05,0.9999897386432434,1.0000102613567565,0.9999951487396426,1.0000048512603574
gohan-super-saiyan-2,getupStand,8,1.5112617114065863e-05,0.9999897386432434,1.0000102613567565,0.9999951487396426,1.0
gohan-super-saiyan-2,jabright,6,1.5112617114065863e-05,0.9999897386432434,1.0,0.9999951487396426,1.0000048512603574
gohan-super-saiyan-2,kickleft,5,1.5112617114065863e-05,0.9999897386432434,1.0000102613567565,1.0,1.0000048512603574
gohan-super-saiyan-2,sprint,10,1.511261711395484e-05,0.9999897386432435,1.0000102613567565,0.9999951487396426,1.0000048512603574
gohan-super-saiyan-2,walkForward,4,1.5112617113732796e-05,0.9999897386432435,1.0,1.0,1.0000048512603572
gohan-super-saiyan-2,chargeKi,5,1.5112593579336142e-05,0.9999897386432435,1.0,0.9999951487631772,1.0
