character,animation,frames,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio,scale_min,scale_max,score
dragon-shiryu,crouch,5,0.7412835825070275,2.4504426387704012,0.5556078012289607,1.0000854929201175,0.75,1.35,1.61465778203328
dragon-shiryu,crouchBlock,8,0.9074906920244273,1.323499900680972,0.8940494170890463,1.1175873022698324,0.8,1.0,0.41168724267841555
dragon-shiryu,jableft,7,0.9159204235850511,1.3328946692026935,0.8940494170890463,1.0377427451907832,0.8,0.92857,0.3699723844325698
dragon-shiryu,jabright,8,0.9415934013470537,2.0578483866939896,0.7894759490402651,1.4183978514492845,0.75,1.35,1.3531068834656783
dragon-shiryu,jump,8,0.9415934013470537,2.0578483866939896,0.7894759490402651,1.4183978514492845,0.75,1.35,1.3531068834656783
dragon-shiryu,kickleft,5,0.7412835825070275,2.4504426387704012,0.5556078012289607,1.0000854929201175,0.75,1.35,1.61465778203328
dragon-shiryu,kickright,8,0.9074906920244273,1.323499900680972,0.8940494170890463,1.1175873022698324,0.8,1.0,0.41168724267841555
dragon-shiryu,sidestepRight,8,0.9074906920244273,1.323499900680972,0.8940494170890463,1.1175873022698324,0.8,1.0,0.41168724267841555
dragon-shiryu,sprint,10,0.9074906920244273,1.323499900680972,0.8940494170890463,1.1175873022698324,0.8,1.0,0.41168724267841555
eve,backflip,8,0.6368940293475234,2.0283946816775877,0.8814755340442614,1.1002386095059313,0.75,1.04468,0.8829012749622913
eve,chargeKi,3,1.0,1.327225480634344,0.9444907591478663,1.0,0.75,0.75,0.2518445292327401
eve,cmd:1+2,6,0.5962257577517129,1.0808965276971316,0.716677718174635,1.4175603829248244,0.7881,1.05385,0.7926999282737967
eve,cmd:3+4,10,0.6393192653315576,1.0956938458696268,0.7637481376930919,1.329644789461303,0.75,1.01944,0.6807732302623685
eve,crouchBlock,8,0.8226115197022584,1.5531389084788754,0.5996164035899199,1.0515627194660644,0.79006,1.04429,0.8593819414974053
eve,getupStand,8,0.8090815993461886,1.7002733350110504,0.6573793019620289,1.3497179013617042,0.75,1.28814,1.0389519023683345
eve,idle,5,0.9473727744577018,1.098444274419791,0.9386483592498887,1.0140432669073538,0.95285,1.02941,0.15869820540198598
eve,jableft,6,0.7594045325887708,1.5220313625988815,0.8472187591470356,1.1431111303838772,0.81071,1.04839,0.5848400584122933
eve,jabright,8,0.731019999637922,1.4533190915979797,0.8658876989701917,1.1445342667590954,0.79006,1.06061,0.5518007217178833
eve,juggle,2,0.9147418173279032,1.0852581826720968,0.8864315600717273,1.1135684399282726,0.75,0.88981,0.2346283495315308
eve,jump,6,0.8942652142216826,1.3538224347638033,0.9392057535583278,1.2591209439883386,0.75,1.00526,0.5990444048466206
eve,knockdown,4,0.9999823830676112,1.0201009198555413,0.951635686460436,1.0694598544427227,0.75,0.76508,0.0890604063560475
eve,sprint,10,0.7273056740533806,1.186394352372683,0.4614646064499509,1.4396824591462771,0.75,0.88981,0.7720569891180207
eve,walkForward,8,0.8018729126925077,1.4239171174598204,0.8496118717857956,1.2011660755874907,0.90625,1.28125,0.6430163460633829
franky,backflip,8,0.4881471922982123,1.705557408186049,0.7088085104676024,1.1261046238763222,0.85,1.35,0.9645259344440269
franky,chargeKi,6,0.7858002170700769,1.1461103919030247,0.71937019643302,1.0720684978271504,0.75,1.11765,0.5929746733249339
franky,cmd:1+2,8,0.56965753746418,1.6535303236717243,0.7543747009188256,1.3499832875243174,0.95652,1.35,0.9388414817273519
franky,cmd:1+3,9,0.7392454406236949,1.1793390376851327,0.8389349117757028,1.1708177358541565,0.89572,1.25,0.5044104714799396
franky,cmd:1+4,9,0.7037000499065702,2.0426120866749455,0.7543656309064065,1.3499670563792796,0.95652,1.35,1.1722743083842468
franky,cmd:2+3,13,0.6639229413011668,1.1884174116260193,0.7435486639583452,1.1631096107264782,0.75,1.1732,0.6696975712609547
franky,cmd:3+4,16,0.9189641820551403,1.2741656225799747,0.9998621454653872,1.3331495272871832,0.75,1.0,0.622648900835168
franky,crouchBlock,8,0.7074090602822916,1.4165682233831236,0.7499164376215864,1.1169945437975073,0.75,1.11702,0.6835344964082877
franky,getupStand,8,0.9573850195786316,1.8000261719497095,0.5192438825357434,1.3947930290530646,0.75,1.35,1.2607718206340823
