id,displayName,key,frame,reason,score,heightRatio,seqMedianH,widthRatio,seqMedianW,scale
gohan-super-saiyan,Gohan (Super Saiyan),getupStand,30,very-low-scale,0.080,0.470,1.000,1.062,1.000,0.47
gotenks,Gotenks,knockdown,32,very-low-scale,0.080,0.470,0.460,0.834,0.834,0.47
gotenks,Gotenks,getupStand,32,very-low-scale,0.080,0.470,0.830,0.834,0.830,0.47
gotenks-super-saiyan,Gotenks (Super Saiyan),knockdown,32,very-low-scale,0.080,0.470,0.460,2.041,2.035,0.47
gotenks-super-saiyan,Gotenks (Super Saiyan),getupStand,32,very-low-scale,0.080,0.470,1.000,2.041,1.000,0.47
heihachi-edajima,Heihachi Edajima,knockdown,35,very-low-scale,0.080,0.470,0.480,1.695,1.681,0.47
heihachi-edajima,Heihachi Edajima,getupStand,35,very-low-scale,0.080,0.470,1.000,1.695,1.669,0.47
jaguar-junichi,Jaguar Junichi,knockdown,34,very-low-scale,0.080,0.470,0.420,1.819,1.839,0.47
jaguar-junichi,Jaguar Junichi,getupStand,34,very-low-scale,0.080,0.470,0.470,1.819,1.819,0.47
jotaro-kujo,Jotaro Kujo,lose,32,very-low-scale,0.080,0.470,0.470,2.425,2.425,0.47
kinnikuman,Kinnikuman,knockdown,35,very-low-scale,0.080,0.470,0.490,1.084,1.088,0.47
kinnikuman,Kinnikuman,getupStand,35,very-low-scale,0.080,0.470,0.570,1.084,1.083,0.47
monkey-d-luffy,Monkey D. Luffy,knockdown,32,very-low-scale,0.080,0.470,0.470,1.311,1.306,0.47
monkey-d-luffy,Monkey D. Luffy,getupStand,32,very-low-scale,0.080,0.470,1.000,1.311,1.293,0.47
monkey-d-luffy-2nd-gear,Monkey D. Luffy (2nd Gear),knockdown,33,very-low-scale,0.080,0.470,0.480,1.778,1.777,0.47
monkey-d-luffy-2nd-gear,Monkey D. Luffy (2nd Gear),getupStand,33,very-low-scale,0.080,0.470,1.000,1.778,1.751,0.47
monkey-d-luffy-2nd-gear,Monkey D. Luffy (2nd Gear),lose,30,very-low-scale,0.080,0.470,0.470,3.060,3.060,0.47
pegasus-seiya,Pegasus Seiya,knockdown,34,very-low-scale,0.080,0.470,0.480,1.374,1.374,0.47
pegasus-seiya,Pegasus Seiya,getupStand,34,very-low-scale,0.080,0.470,1.000,1.374,1.367,0.47
roronoa-zoro,Roronoa Zoro,knockdown,33,very-low-scale,0.080,0.470,0.550,1.048,1.048,0.47
